YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1945,15.7,18.0,23.4,26.0,29.1,29.1,26.5,26.2,25.6,23.6,19.7,16.0,26.2,27.3,23.0,17.5,23.2
1946,16.8,19.7,23.1,27.3,29.2,28.1,26.5,26.0,25.8,24.4,20.4,17.6,26.5,26.9,23.5,17.7,23.7
1947,16.5,18.9,23.6,27.6,29.8,29.5,26.8,26.4,25.5,23.2,20.5,17.4,27.0,27.6,23.1,17.7,23.8
1948,16.9,18.7,22.6,27.6,29.9,29.1,26.7,25.9,25.7,24.4,20.4,16.7,26.7,27.2,23.5,17.5,23.7
1949,17.3,18.5,23.4,27.1,29.3,28.4,26.5,26.1,25.9,24.2,19.3,16.5,26.6,27.0,23.1,17.1,23.5
1950,17.0,17.7,22.2,26.5,29.5,28.7,26.2,25.9,25.4,23.7,19.4,16.4,26.1,27.0,22.8,16.9,23.2
1951,16.1,18.4,23.1,25.9,29.0,28.5,27.1,26.2,26.2,25.5,21.1,17.3,26.0,27.3,24.3,18.2,23.7
1952,17.3,20.0,22.7,27.6,29.6,28.8,26.7,25.8,25.9,24.4,20.0,17.6,26.6,27.1,23.4,18.1,23.9
1953,16.4,20.1,25.1,27.5,30.0,29.3,26.7,25.9,25.7,24.0,20.0,18.1,27.5,27.3,23.3,18.0,24.1
1954,16.0,19.8,23.4,27.8,30.1,28.8,26.6,26.2,25.4,22.9,19.6,17.1,27.1,27.2,22.6,17.7,23.6
1955,16.7,19.3,24.2,26.1,28.7,28.7,26.6,25.6,25.5,23.7,19.5,16.9,26.3,27.0,22.9,17.4,23.5
1956,16.6,18.5,23.5,27.6,29.8,27.6,25.6,25.6,25.6,23.5,19.8,17.2,27.0,26.3,22.9,17.2,23.4
1957,16.6,17.9,22.0,26.4,28.7,28.8,26.7,26.0,25.7,24.2,20.8,17.9,25.7,27.2,23.6,18.3,23.5
1958,17.9,19.2,23.8,28.1,29.6,30.0,26.7,26.2,25.6,24.1,20.8,17.9,27.1,27.6,23.5,17.8,24.2
1959,16.9,18.7,23.7,27.4,29.4,28.7,26.2,25.8,25.5,24.4,20.2,17.5,26.8,26.9,23.4,18.1,23.7
1960,16.4,20.2,22.4,26.9,29.4,28.9,26.6,26.1,25.9,24.0,19.9,17.8,26.2,27.2,23.3,17.6,23.7
1961,17.3,17.7,23.9,27.1,29.1,28.2,26.3,26.1,25.5,23.7,19.6,16.0,26.7,26.8,22.9,16.8,23.4
1962,15.6,18.9,22.8,26.9,28.9,28.8,26.9,25.9,25.4,23.5,20.1,17.1,26.2,27.2,23.0,17.6,23.4
1963,16.1,19.6,22.8,26.1,28.5,28.3,26.9,25.9,25.7,24.4,21.0,17.5,25.8,27.0,23.7,17.5,23.6
1964,16.1,19.0,24.2,27.6,28.9,28.6,26.2,25.9,25.5,24.3,19.8,17.0,26.9,26.9,23.2,17.7,23.6
1965,17.4,18.7,22.4,26.0,29.0,29.1,26.6,26.0,25.6,24.5,20.9,17.3,25.8,27.2,23.7,18.2,23.6
1966,17.1,20.4,23.2,27.1,29.3,28.6,27.3,26.1,25.6,24.3,21.0,16.9,26.5,27.3,23.6,17.7,23.9
1967,16.3,19.8,22.2,26.3,29.1,28.8,26.7,25.7,25.4,23.8,20.0,17.7,25.9,27.1,23.0,17.1,23.5
