YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,MAM,JJA,SON,DJF,ANN
1944,20.2,25.4,40.8,30.0,39.0,160.0,332.7,286.8,145.9,93.4,28.9,11.2,109.8,779.4,268.2,41.1,1214.2
1945,23.4,6.5,7.6,39.2,48.5,152.3,335.6,241.9,204.4,84.6,20.8,5.4,95.3,729.8,309.7,20.4,1170.1
1946,2.5,12.4,16.1,38.6,61.3,183.2,304.5,290.6,140.7,84.4,67.8,26.3,115.9,778.3,292.8,56.8,1228.3
1947,18.0,12.5,21.4,28.7,45.1,122.2,308.1,304.3,251.4,72.0,7.0,15.3,95.2,734.6,330.4,55.1,1206.0
1948,21.4,18.4,19.9,38.8,68.7,143.0,301.0,268.9,163.9,67.0,61.1,6.1,127.4,712.9,292.0,26.6,1178.3
1949,8.1,12.4,13.7,39.1,74.8,148.0,317.4,250.3,217.2,95.2,10.9,2.0,127.7,715.7,323.3,31.3,1189.3
1950,12.1,17.2,24.1,14.3,45.7,139.9,334.4,234.9,188.0,58.2,25.7,5.8,84.1,709.2,271.9,19.7,1100.2
1951,9.4,4.5,28.8,38.2,55.1,154.4,282.3,225.4,135.6,75.3,33.5,3.2,122.1,662.0,244.4,23.5,1045.6
1952,7.1,13.2,21.0,32.4,57.5,155.0,263.8,225.8,112.9,80.4,7.4,20.1,110.9,644.6,200.7,48.1,996.6
1953,20.7,7.3,13.0,35.4,39.7,183.2,302.0,278.3,166.7,95.0,12.0,2.9,88.1,763.5,273.7,40.6,1156.3
1954,17.8,19.9,14.9,26.6,50.8,166.1,305.0,264.1,222.8,80.0,2.9,14.7,92.3,735.2,305.7,36.7,1185.6
1955,17.5,4.5,18.7,34.1,64.9,161.0,257.3,310.8,223.1,133.9,27.3,10.6,117.7,729.1,384.4,31.0,1263.8
1956,13.6,6.8,20.2,30.7,76.0,209.9,342.9,264.5,181.2,132.4,44.3,9.4,126.9,817.3,357.9,40.2,1331.9
1957,23.6,7.1,21.3,27.0,50.9,152.9,281.9,259.3,110.5,66.9,28.1,10.9,99.1,694.1,205.4,32.2,1040.3
1958,11.9,9.4,13.0,34.4,55.4,101.4,327.7,291.9,195.0,98.8,34.9,7.6,102.7,720.9,328.8,39.4,1181.3
1959,20.7,11.0,12.2,33.8,69.8,190.0,338.2,257.6,220.4,113.3,24.0,4.9,115.9,785.7,357.7,20.2,1296.0
1960,11.9,3.4,23.0,18.9,50.4,135.5,313.3,223.0,160.4,67.6,37.1,6.1,92.4,671.8,265.2,50.1,1050.8
1961,23.2,20.8,10.3,21.8,70.4,201.3,321.9,280.9,208.9,113.0,16.3,7.6,102.5,804.1,338.1,38.5,1296.3
1962,15.4,15.5,16.0,35.0,62.4,123.7,294.7,260.1,226.9,86.0,16.5,26.9,113.5,678.6,329.3,44.5,1179.2
1963,9.8,7.7,21.8,38.9,47.5,152.8,275.7,294.3,164.1,106.9,22.4,12.3,108.3,722.8,293.4,24.1,1154.3
1964,4.7,7.1,12.7,28.3,47.7,140.2,349.8,291.3,199.0,74.7,26.7,7.8,88.8,781.3,300.4,27.8,1190.0
1965,7.5,12.5,15.4,29.3,36.5,115.3,308.6,227.9,135.0,36.6,19.6,21.8,81.3,651.9,191.2,45.9,966.1
1966,14.8,9.2,9.3,17.5,51.4,155.0,268.3,214.3,155.3,60.8,57.0,17.0,78.2,637.6,273.2,32.5,1030.0
1967,10.6,4.9,44.6,24.6,37.7,172.6,315.6,251.5,156.4,45.6,14.0,36.8,106.9,739.7,216.0,66.9,1114.9
1968,15.9,14.2,22.0,35.5,41.0,171.0,270.8,198.7,144.2,75.3,21.5,8.8,98.6,640.6,240.9,20.6,1019.0
1969,6.5,5.3,17.1,27.2,52.7,123.9,326.9,245.3,175.4,61.7,35.5,14.7,97.0,696.1,272.6,47.6,1092.2
1970,17.3,15.6,22.1,25.4,62.8,209.8,256.4,321.4,219.2,83.4,18.5,1.3,110.2,787.7,321.1,25.8,1253.3
1971,11.5,13.0,11.6,37.6,71.8,211.3,235.6,274.4,161.9,98.5,15.0,10.3,121.1,721.3,275.3,30.7,1152.5
1972,5.4,15.0,9.2,24.2,47.4,113.2,210.8,205.9,133.7,71.4,26.7,17.6,80.8,529.9,231.7,41.1,880.5
1973,11.8,11.7,13.2,21.9,63.7,157.1,307.1,295.5,176.1,119.7,18.8,16.8,98.8,759.7,314.5,27.3,1213.3
1974,5.0,5.5,18.3,26.1,66.2,134.3,270.4,228.3,149.8,113.2,9.9,5.2,110.7,633.0,272.9,30.2,1032.2
1975,11.8,13.2,18.6,19.7,56.6,188.0,302.8,269.6,252.4,118.0,24.6,3.5,95.0,760.3,395.0,22.6,1278.8
1976,7.8,11.3,12.7,29.5,46.0,167.8,288.7,286.8,152.0,37.9,56.8,4.2,88.2,743.3,246.8,24.1,1101.6
1977,10.8,9.1,12.3,52.3,81.8,201.0,298.2,235.6,149.0,95.5,66.2,9.7,146.4,734.8,310.7,40.3,1221.5
1978,8.3,22.3,24.6,31.4,65.9,205.8,278.3,278.6,168.1,57.4,45.6,22.9,121.9,762.7,271.1,65.6,1209.2
1979,15.5,27.3,11.5,22.7,46.8,160.8,234.6,247.4,157.5,55.2,67.5,13.7,81.1,642.8,280.3,30.9,1060.5
1980,6.5,10.7,18.4,24.3,56.7,196.6,294.9,270.9,123.0,51.0,24.3,16.8,99.4,762.4,198.2,45.4,1094.1
1981,19.9,8.8,32.9,35.7,68.5,144.8,319.2,252.2,203.4,55.3,23.7,13.1,137.1,716.3,282.3,40.3,1177.5
1982,16.0,11.1,24.9,38.1,51.1,132.3,252.3,240.2,129.3,52.3,45.2,7.5,114.0,624.8,226.8,31.5,1000.2
1983,11.5,12.6,18.0,28.1,63.2,161.1,306.3,288.0,219.5,95.0,12.3,25.6,109.2,755.4,326.9,63.6,1241.1
1984,17.4,20.7,13.4,36.8,46.4,150.2,290.6,239.0,158.1,61.7,13.2,10.2,96.5,679.8,233.1,33.5,1057.7
1985,16.9,6.4,14.2,28.0,56.7,130.1,288.4,237.6,142.4,115.7,18.5,17.4,98.9,656.1,276.6,46.8,1072.4
1986,11.7,17.6,11.9,32.6,53.7,156.4,251.9,236.4,134.9,68.4,43.6,17.4,98.3,644.7,246.9,38.2,1036.6
1987,10.4,10.3,22.0,32.9,47.4,120.1,210.0,271.6,122.4,88.7,27.7,26.3,102.4,601.6,238.9,42.3,989.9
1988,4.3,11.6,22.8,40.8,58.3,171.1,356.1,281.1,228.8,50.3,23.1,16.8,121.9,808.3,302.1,37.7,1265.1
1989,14.0,6.9,21.6,20.8,47.7,157.6,299.2,227.7,159.1,60.7,17.7,9.8,90.1,684.4,237.5,43.6,1042.7
1990,6.8,27.1,28.4,27.4,86.8,179.9,283.5,294.1,171.5,89.8,28.1,14.0,142.6,757.5,289.3,38.6,1237.3
1991,12.6,12.0,14.9,31.4,51.4,181.8,260.0,231.5,138.0,68.2,31.9,11.8,97.7,673.2,238.2,38.7,1045.5
1992,12.8,14.1,11.7,17.3,52.3,109.9,221.9,252.2,172.7,71.3,37.9,4.8,81.3,584.1,281.9,25.8,979.0
1993,8.0,13.0,21.3,24.1,61.3,150.8,287.9,192.3,187.1,86.2,27.0,16.0,106.7,631.0,300.4,52.1,1075.2
1994,19.9,16.2,14.6,36.4,42.9,168.6,331.7,260.7,148.7,94.2,22.5,5.9,93.9,761.0,265.4,45.2,1162.3
1995,24.2,15.1,22.3,22.7,58.2,144.5,317.3,247.5,183.7,84.8,26.0,6.6,103.2,709.2,294.5,34.3,1152.8
1996,15.7,12.1,16.5,31.4,41.5,168.5,282.5,263.6,146.1,108.5,15.7,11.7,89.5,714.6,270.3,28.9,1113.9
1997,11.5,5.7,19.8,40.5,39.2,140.3,271.7,279.1,164.1,68.9,60.7,33.7,99.5,691.1,293.7,58.8,1135.2
1998,8.1,17.0,24.0,34.4,53.3,143.3,298.7,266.9,190.1,110.0,43.1,14.8,111.8,708.9,343.2,37.4,1203.8
1999,9.7,13.0,5.0,18.7,71.2,141.5,264.7,224.2,180.7,114.1,16.9,5.8,94.9,630.5,311.7,33.5,1065.5
2000,9.6,18.2,10.2,32.7,75.2,168.0,291.0,238.3,133.1,52.4,16.2,9.4,118.1,697.3,201.7,23.9,1054.3
2001,8.8,5.7,14.7,35.3,72.0,190.4,260.3,216.4,103.1,95.1,21.1,7.8,122.0,667.1,219.3,32.5,1030.6
2002,12.6,12.1,12.9,29.8,51.9,156.4,156.5,251.7,125.6,75.7,28.2,6.9,94.6,564.6,229.5,39.9,920.2
2003,8.3,24.8,17.9,30.1,29.2,148.2,305.7,215.4,154.5,101.0,17.0,9.6,77.2,669.3,272.6,29.0,1061.7
2004,14.4,5.0,9.5,35.7,62.3,154.0,232.8,260.1,136.5,110.2,17.7,5.6,107.5,646.9,264.4,34.0,1043.9
2005,15.4,12.9,25.7,33.1,45.7,133.4,292.3,208.4,224.5,102.9,24.8,11.0,104.5,634.1,352.2,23.3,1130.1
2006,5.7,6.6,34.4,36.3,77.9,142.0,315.5,269.1,191.7,86.9,36.1,4.8,148.5,726.6,314.7,35.9,1206.9
2007,2.6,28.6,16.9,35.6,48.7,165.2,294.3,259.6,214.6,57.0,23.1,8.9,101.2,719.1,294.6,33.6,1155.1
2008,12.5,12.2,19.9,31.8,48.3,212.3,263.1,287.8,174.3,66.7,31.2,9.9,100.0,763.2,272.2,22.0,1170.0
2009,5.7,6.4,12.4,17.6,60.7,98.8,299.0,210.4,162.5,72.0,56.2,12.5,90.8,608.2,290.6,28.5,1014.3
2010,7.5,8.6,11.9,34.9,58.8,144.9,309.0,297.5,229.7,96.0,56.0,18.7,105.6,751.4,381.7,42.6,1273.4
